amount_players;round_result;MO;bank;timee;wkday;coeff
25.0;-371.82;1.864;156.1;1716216717.14;1;3.0
22.0;72.94;1.868;73.75;1716216732.02;1;1.03
22.0;37.38;1.865;54.29;1716216750.99;1;1.4
22.0;283.59;1.863;343.34;1716216776.57;1;2.39
22.0;43.09;1.865;75.61;1716216797.64;1;1.72
23.0;-70.44;1.864;59.52;1716216857.46;1;3.0
22.0;-21.06;1.868;79.01;1716216883.1;1;2.48
25.0;-910.11;1.87;477.14;1716216947.99;1;3.0
24.0;64.27;1.874;64.27;1716216962.87;1;1.0
23.0;76.81;1.871;76.81;1716216978.34;1;1.02
22.0;-110.23;1.868;274.0;1716217024.27;1;3.0
23.0;188.69;1.872;188.69;1716217038.66;1;1.0
22.0;-257.0;1.869;171.28;1716217090.69;1;3.0
25.0;170.65;1.873;170.65;1716217104.59;1;1.0
25.0;-30.67;1.87;95.17;1716217128.77;1;2.03
23.0;230.53;1.87;243.5;1716217148.25;1;1.52
22.0;88.09;1.869;88.69;1716217163.66;1;1.06
21.0;87.53;1.867;90.15;1716217179.55;1;1.14
25.0;-26.46;1.864;98.07;1716217206.68;1;2.77
23.0;335.05;1.867;335.05;1716217221.06;1;1.02
22.0;209.09;1.865;209.09;1716217235.94;1;1.0
25.0;96.27;1.862;263.28;1716217265.15;1;3.0
24.0;-481.28;1.865;214.43;1716217311.66;1;3.0
19.0;141.42;1.869;219.58;1716217333.64;1;1.85
18.0;-77.23;1.869;52.65;1716217373.43;1;3.0
24.0;92.99;1.872;92.99;1716217387.82;1;1.0
24.0;317.7;1.87;406.18;1716217426.67;1;3.0
22.0;274.93;1.873;294.51;1716217446.65;1;1.6
23.0;246.43;1.872;246.43;1716217461.1;1;1.01
21.0;409.16;1.87;409.16;1716217475.97;1;1.0
24.0;194.03;1.867;210.05;1716217495.96;1;1.52
22.0;84.42;1.866;101.8;1716217513.9;1;1.29
23.0;438.17;1.864;446.02;1716217529.8;1;1.09
25.0;631.11;1.862;632.57;1716217545.22;1;1.05
22.0;31.44;1.86;102.07;1716217566.25;1;1.67
22.0;134.57;1.859;208.19;1716217589.81;1;2.08
22.0;132.45;1.86;154.39;1716217609.28;1;1.45
24.0;-41.52;1.859;230.63;1716217630.33;1;1.68
24.0;117.68;1.858;117.68;1716217644.71;1;1.0
23.0;616.21;1.856;638.1;1716217665.2;1;1.56
24.0;108.3;1.855;108.3;1716217680.09;1;1.02
24.0;-13.02;1.852;137.98;1716217704.18;1;2.06
23.0;-202.86;1.853;198.27;1716217757.27;1;3.0
22.0;84.76;1.856;94.34;1716217774.21;1;1.19
24.0;385.26;1.855;402.48;1716217791.66;1;1.27
24.0;-109.7;1.853;161.2;1716217836.6;1;3.0
23.0;-197.75;1.856;163.01;1716217883.04;1;3.0
24.0;81.51;1.86;106.97;1716217898.95;1;1.09
21.0;94.29;1.857;95.18;1716217914.85;1;1.08
22.0;-233.51;1.855;142.5;1716217987.72;1;3.0
22.0;-50.41;1.858;347.74;1716218026.01;1;3.0
23.0;-54.92;1.862;459.23;1716218049.61;1;2.03
18.0;298.99;1.862;311.64;1716218064.99;1;1.1
23.0;-3.16;1.86;51.44;1716218092.1;1;2.6
21.0;99.02;1.862;99.02;1716218106.97;1;1.02
21.0;-170.32;1.86;87.69;1716218152.38;1;3.0
21.0;-45.04;1.863;51.45;1716218185.12;1;3.0
24.0;202.8;1.866;202.8;1716218200.02;1;1.0
23.0;-26.73;1.864;100.1;1716218230.72;1;3.0
23.0;-45.9;1.867;49.05;1716218276.15;1;3.0
25.0;-59.74;1.87;91.58;1716218312.46;1;3.0
24.0;87.96;1.873;113.87;1716218327.9;1;1.09
21.0;-20.29;1.871;84.88;1716218354.0;1;2.39
22.0;150.67;1.872;151.63;1716218368.38;1;1.04
24.0;417.06;1.87;460.26;1716218392.45;1;2.12
