amount_of_players;round_result;MO;bank;real_x
25;638.16;1.822;653.85;1.2
23;435.57;1.822;506.43;1.91
23;271.84;1.824;334.07;2.46
20;-21.77;1.824;170.16;2.03
22;-26.38;1.827;85.46;3.0
24;74.24;1.825;74.24;1.03
21;71.57;1.824;87.1;1.21
23;95.59;1.822;95.59;1.01
23;83.84;1.82;98.42;1.17
23;-246.77;1.823;269.21;3.0
21;74.02;1.821;74.02;1.02
25;257.36;1.82;278.34;1.49
23;379.61;1.819;475.89;1.24
23;67.86;1.818;81.68;1.43
23;134.38;1.816;134.38;1.01
23;-161.55;1.818;148.68;2.71
20;-117.81;1.821;76.28;3.0
21;-569.21;1.823;131.65;3.0
21;-37.68;1.824;123.42;2.11
24;74.48;1.822;74.48;1.05
24;-76.93;1.824;268.86;2.28
22;-96.72;1.826;206.36;3.0
21;46.06;1.829;536.37;3.0
23;162.09;1.829;189.87;1.89
23;71.09;1.827;77.62;1.18
23;-9.56;1.83;133.39;2.77
24;-25.7;1.832;72.9;2.82
21;86.82;1.83;86.82;1.03
19;-160.27;1.831;303.8;2.29
22;-22.88;1.833;77.06;2.77
25;120.12;1.832;152.94;1.22
25;-18.31;1.834;64.08;3.0
23;-863.28;1.837;462.28;3.0
25;94.35;1.835;99.28;1.31
22;135.59;1.835;159.76;1.5
22;340.25;1.833;340.25;1.03
24;70.94;1.831;70.94;1.04
22;78.48;1.829;78.48;1.0
26;52.37;1.831;113.01;2.6
22;259.55;1.83;263.95;1.32
24;143.6;1.828;145.87;1.08
22;247.18;1.827;258.69;1.03
25;-77.99;1.829;73.84;3.0
21;51.7;1.827;51.7;1.02
22;141.0;1.826;141.0;1.05
24;310.18;1.825;344.67;1.49
25;64.43;1.824;82.85;1.07
22;-22.53;1.824;209.98;2.13
20;189.43;1.823;205.99;1.22
21;-107.15;1.825;244.01;3.0
22;-84.82;1.828;89.07;3.0
23;-58.62;1.83;71.55;3.0
26;177.5;1.829;177.5;1.02
25;58.29;1.827;60.69;1.09
25;68.44;1.825;68.44;1.03
26;-84.22;1.828;106.38;3.0
22;64.64;1.827;76.56;1.33
22;90.56;1.825;90.56;1.01
22;119.57;1.824;134.85;1.06
24;108.68;1.822;152.42;1.28
25;125.37;1.821;128.62;1.09
23;92.31;1.82;106.72;1.44
22;138.45;1.821;172.51;1.96
22;-145.25;1.823;87.16;3.0
23;70.22;1.822;79.49;1.18
21;58.41;1.82;58.41;1.02
20;-147.45;1.822;201.13;3.0
22;13.43;1.822;91.66;1.55
21;53.65;1.822;72.0;1.76
22;114.67;1.82;114.67;1.0
24;-3.16;1.822;103.66;2.67
23;-15.08;1.824;48.68;3.0
21;28.73;1.823;28.73;1.0
26;34.12;1.824;100.77;2.28
20;268.76;1.822;268.76;1.06
22;-3.87;1.824;54.75;2.57
23;59.43;1.822;67.55;1.11
22;-54.6;1.823;160.95;2.38
24;121.53;1.822;187.37;1.24
21;-2.62;1.823;41.54;2.26
22;119.24;1.822;128.56;1.03
25;49.91;1.82;88.85;1.24
22;84.73;1.82;88.73;1.4
21;96.4;1.818;96.4;1.04
23;78.48;1.816;78.48;1.02
24;29.82;1.818;73.15;2.53
24;58.51;1.816;58.51;1.0
23;442.93;1.815;456.8;1.08
22;-1227.77;1.817;362.75;3.0
22;-241.71;1.819;66.29;3.0
23;26.29;1.819;53.54;1.91
24;57.9;1.818;64.59;1.09
21;-29.62;1.82;63.09;3.0
21;55.19;1.82;95.77;1.8
25;-81.13;1.822;90.52;3.0
21;-53.53;1.825;454.76;3.0
20;210.68;1.824;242.63;1.45
24;-129.4;1.826;253.69;3.0
22;-83.26;1.828;133.62;3.0
23;79.95;1.827;83.77;1.06
24;-39.34;1.829;68.17;3.0
21;19.31;1.829;40.24;1.78
21;54.63;1.829;282.72;1.71
23;378.22;1.827;378.22;1.02
21;96.11;1.826;96.11;1.01
24;64.11;1.825;77.5;1.32
21;25.99;1.824;30.55;1.4
22;120.25;1.823;120.25;1.01
25;88.61;1.822;99.88;1.38
23;146.33;1.821;206.51;1.16
23;40.54;1.82;82.92;1.39
20;13.95;1.82;76.02;1.88
22;229.42;1.819;240.6;1.21
22;23.9;1.821;322.43;3.0
22;-43.97;1.823;64.05;3.0
24;51.66;1.822;66.42;1.09
23;-71.06;1.823;165.91;2.27
23;37.76;1.822;151.03;1.72
22;-1.25;1.823;447.81;1.97
20;-14.76;1.825;45.65;3.0
24;517.28;1.824;523.11;1.24
23;-28.46;1.826;80.68;3.0
21;-49.46;1.828;50.81;3.0
23;110.41;1.827;110.41;1.02
23;62.27;1.825;62.27;1.0
22;-37.71;1.827;152.47;3.0
23;84.11;1.826;104.31;1.05
24;-950.96;1.828;321.45;3.0
21;79.83;1.827;89.77;1.1
23;74.37;1.826;134.07;1.5
22;-93.42;1.828;133.47;3.0
22;1.48;1.829;52.69;2.38
21;182.91;1.831;243.75;3.0
25;-8.24;1.833;58.47;3.0
25;19.97;1.834;204.91;2.4
25;125.15;1.833;135.38;1.3
21;10.62;1.835;101.66;3.0
23;-161.38;1.837;91.68;3.0
21;82.6;1.836;287.51;1.03
26;-384.25;1.838;236.11;3.0
23;60.83;1.838;115.72;2.04
24;424.07;1.837;426.25;1.03
27;461.16;1.835;461.16;1.0
28;-9.82;1.835;287.99;1.49
25;17.35;1.835;160.29;1.7
25;74.39;1.834;102.77;1.49
26;28.29;1.833;226.21;1.33
23;-14.77;1.835;59.07;2.68
22;-71.08;1.837;70.01;3.0
23;215.71;1.836;223.31;1.42
22;154.91;1.835;178.18;1.59
26;105.11;1.834;106.05;1.02
24;-79.12;1.834;337.91;2.03
23;103.24;1.833;103.24;1.0
28;-17.72;1.834;138.93;2.42
25;-124.3;1.836;80.67;3.0
22;72.17;1.836;453.37;2.0
22;-28.71;1.838;70.59;3.0
21;-40.03;1.84;38.96;3.0
22;-84.87;1.842;71.66;3.0
22;-90.83;1.843;235.31;2.17
22;58.27;1.841;67.79;1.25
22;0.95;1.842;87.66;2.18
22;251.3;1.841;262.33;1.34
21;95.96;1.84;95.96;1.0
25;344.82;1.839;435.49;1.26
21;89.06;1.837;99.16;1.03
21;86.45;1.836;91.12;1.13
24;75.0;1.835;75.0;1.0
25;22.45;1.834;81.97;1.35
26;24.68;1.835;79.51;2.24
25;99.8;1.833;163.32;1.14
24;17.47;1.833;60.95;1.39
22;335.72;1.832;335.72;1.08
21;40.1;1.833;277.6;2.99
22;-46.35;1.835;229.87;2.67
26;108.22;1.834;111.17;1.05
23;179.16;1.833;180.1;1.07
22;43.7;1.831;45.56;1.05
25;33.56;1.831;71.0;1.9
23;52.91;1.832;206.94;2.09
23;102.7;1.831;102.7;1.03
23;89.23;1.83;123.99;1.43
21;27.78;1.83;357.95;1.83
23;-1392.13;1.832;111.54;3.0
22;113.73;1.831;136.34;1.39
24;313.4;1.83;313.4;1.0
23;-38.71;1.832;58.0;3.0
21;63.89;1.831;74.66;1.34
21;109.9;1.829;111.79;1.05
24;-15.75;1.83;68.5;2.11
22;-32.53;1.831;196.16;2.81
23;126.72;1.83;126.72;1.0
23;-22.18;1.832;70.03;3.0
21;-69.73;3.0;44.36;3.0
24;-86.98;3.0;69.1;3.0
22;-10.52;3.0;52.13;3.0
23;-122.73;3.0;75.32;3.0
23;225.48;2.6;225.48;1.04
21;136.75;2.367;146.67;1.21
21;-105.22;2.457;72.75;3.0
21;234.76;2.325;247.58;1.35
24;182.18;2.178;183.63;1.04
23;64.13;2.07;84.58;1.15
25;192.23;1.973;194.1;1.04
21;88.89;1.892;88.89;1.02
21;13.09;1.954;84.26;2.74
22;32.19;1.914;49.78;1.41
21;-91.57;1.987;207.7;3.0
21;-81.42;1.956;250.51;1.53
25;87.27;1.918;130.39;1.29
22;141.48;1.867;141.48;1.0
23;172.76;1.826;189.85;1.05
24;182.97;1.785;182.97;1.02
22;180.79;1.776;298.23;1.63
25;122.04;1.759;134.41;1.41
21;174.75;1.726;174.75;1.04
21;390.26;1.708;405.16;1.26
23;239.52;1.692;253.34;1.28
25;-225.01;1.742;54.78;3.0
25;-701.67;1.789;395.03;3.0
25;43.22;1.775;61.1;1.42
22;129.47;1.748;129.47;1.01
21;60.96;1.727;79.57;1.11
23;-81.13;1.755;135.52;2.63
23;32.8;1.744;47.59;1.43
22;45.92;1.724;73.64;1.12
22;-193.98;1.762;244.28;3.0
21;185.03;1.74;185.03;1.0
25;-195.59;1.747;273.6;2.02
23;32.84;1.749;280.5;1.79
23;103.92;1.782;199.0;3.0
24;45.55;1.762;45.55;1.0
21;30.12;1.745;37.28;1.12
21;398.38;1.727;400.7;1.04
22;111.73;1.717;116.53;1.27
24;131.07;1.707;154.72;1.33
25;73.18;1.691;73.18;1.0
23;83.55;1.676;83.55;1.0
23;95.16;1.663;109.88;1.07
21;-4.34;1.691;34.38;3.0
24;-102.7;1.719;97.42;3.0
23;-35.25;1.745;79.67;3.0
25;294.16;1.73;294.16;1.0
24;-15.25;1.741;84.4;2.3
23;238.61;1.729;238.61;1.05
26;-181.07;1.753;172.58;3.0
21;-422.91;1.776;205.56;3.0
22;23.74;1.765;76.77;1.16
21;32.76;1.755;38.43;1.22
24;73.67;1.756;105.69;1.76
25;114.58;1.743;114.58;1.0
22;-244.0;1.764;309.73;3.0
21;-43.24;1.785;53.87;3.0
23;-47.17;1.805;51.13;3.0
25;24.3;1.805;302.01;1.84
20;310.57;1.794;317.36;1.08
24;70.53;1.781;70.53;1.0
25;2.93;1.797;183.08;2.84
22;-45.3;1.815;87.03;3.0
25;-25.48;1.833;84.88;3.0
22;100.44;1.822;103.06;1.08
24;-18.83;1.83;70.88;2.36
22;80.34;1.82;100.68;1.1
21;128.6;1.808;128.6;1.0
24;85.88;1.799;108.66;1.08
23;21.73;1.814;106.32;2.87
22;-83.51;1.83;94.81;3.0
21;75.44;1.819;75.44;1.0
22;250.42;1.808;252.44;1.02
22;-1474.8;1.823;161.5;3.0
22;51.33;1.814;60.95;1.09
25;157.15;1.81;174.11;1.49
21;8.5;1.814;46.33;2.11
22;-4.18;1.827;105.14;2.9
22;-221.25;1.841;341.23;3.0
22;-87.13;1.855;133.69;3.0
21;66.53;1.845;66.53;1.0
21;10.43;1.852;54.0;2.41
22;44.97;1.842;44.97;1.03
23;45.23;1.839;235.05;1.62
23;-10.61;1.842;38.58;2.1
23;215.3;1.833;215.92;1.04
22;0.25;1.836;41.78;2.11
24;-29.63;1.848;50.23;3.0
22;49.17;1.84;63.57;1.15
24;192.11;1.833;195.07;1.19
22;98.36;1.824;98.36;1.02
25;168.15;1.816;168.15;1.0
22;182.34;1.819;272.79;2.07
22;80.88;1.81;82.68;1.04
23;-182.5;1.818;336.4;2.58
25;-116.33;1.83;108.69;3.0
24;143.63;1.831;167.18;1.95
23;-1193.87;1.843;682.16;3.0
24;169.33;1.835;227.03;1.13
22;-118.57;1.847;120.53;3.0
22;88.18;1.838;88.18;1.03
22;71.25;1.832;179.35;1.24
22;45.83;1.825;45.83;1.0
24;97.21;1.817;97.21;1.0
25;-279.87;1.828;153.33;3.0
21;69.06;1.822;79.3;1.2
20;51.67;1.815;53.23;1.06
21;435.66;1.808;435.66;1.0
23;54.92;1.804;161.57;1.32
22;86.75;1.804;111.99;1.81
21;-18.43;1.805;207.35;2.0
21;-587.64;1.816;149.34;3.0
21;44.41;1.809;46.02;1.03
21;-32.53;1.819;95.5;3.0
25;-18.17;1.829;105.66;3.0
24;24.3;1.839;196.05;3.0
20;-2.86;1.848;54.6;3.0
24;5.37;1.853;116.9;2.38
24;118.29;1.848;123.28;1.2
21;-22.02;1.85;70.1;2.25
24;52.47;1.848;87.8;1.51
21;56.99;1.841;56.99;1.0
22;42.8;1.835;42.8;1.06
22;16.19;1.832;44.55;1.54
22;346.25;1.826;346.25;1.0
24;198.12;1.82;198.78;1.06
25;58.31;1.815;65.2;1.16
22;-261.64;1.824;320.93;3.0
26;126.51;1.819;146.97;1.05
23;-1132.98;1.828;509.82;3.0
25;136.55;1.822;146.4;1.15
22;587.77;1.816;587.77;1.0
23;201.73;1.811;201.73;1.09
23;468.49;1.807;504.45;1.19
22;-44.78;1.815;88.89;2.97
21;26.61;1.813;58.53;1.51
22;50.46;1.807;50.46;1.04
25;297.69;1.802;335.88;1.1
24;-160.85;1.811;319.52;3.0
25;22.51;1.811;82.94;1.91
22;147.1;1.806;159.14;1.12
24;-49.78;1.814;61.98;3.0
22;151.51;1.809;151.51;1.0
22;-52.87;1.816;337.48;2.81
23;64.95;1.811;70.57;1.06
21;81.11;1.814;120.31;2.29
19;-45.53;1.815;247.45;2.03
23;126.09;1.81;126.09;1.0
23;146.39;1.806;158.87;1.23
22;96.17;1.807;172.4;1.96
24;-62.57;1.815;98.68;3.0
20;68.46;1.81;80.97;1.1
25;-146.8;1.818;189.89;3.0
22;-29.33;1.825;137.1;3.0
21;-47.97;1.833;68.41;3.0
25;99.08;1.83;104.7;1.36
21;27.06;1.833;81.3;2.28
21;84.23;1.828;84.23;1.0
23;33.45;1.825;44.78;1.43
21;102.91;1.82;115.78;1.02
23;-81.93;1.827;180.15;3.0
22;-79.83;1.835;73.92;3.0
24;-82.4;1.842;137.88;3.0
21;71.37;1.838;98.42;1.21
23;-50.47;1.844;69.03;2.93
23;251.8;1.842;270.59;1.51
22;40.19;1.838;43.86;1.09
23;97.11;1.835;129.15;1.4
22;98.85;1.83;99.39;1.02
22;-37.01;1.835;294.09;2.6
23;33.89;1.832;42.09;1.26
23;46.22;1.838;163.68;3.0
25;19.26;1.843;87.1;2.62
22;214.61;1.838;214.61;1.07
23;86.67;1.834;86.67;1.0
21;199.11;1.83;200.78;1.07
23;-64.78;1.836;67.83;3.0
24;29.61;1.833;69.49;1.16
24;-78.21;1.839;92.8;3.0
21;4.58;1.843;84.69;2.46
21;-198.39;1.849;118.17;3.0
23;8.53;1.855;40.8;2.88
21;64.49;1.852;88.08;1.26
21;73.39;1.847;73.39;1.03
22;-180.17;1.853;146.56;3.0
21;-95.67;1.858;301.88;2.79
25;455.42;1.854;455.42;1.0
22;42.44;1.852;129.98;1.49
24;-5.53;1.858;49.09;3.0
22;42.43;1.855;46.01;1.28
21;-23.91;1.854;235.14;1.71
21;513.67;1.851;624.52;1.33
22;60.66;1.847;74.08;1.15
21;8.78;1.848;45.87;1.87
19;51.79;1.843;51.79;1.0
22;127.87;1.84;136.43;1.25
21;121.68;1.839;146.15;1.65
23;11.71;1.838;86.09;1.58
24;44.24;1.834;44.24;1.0
25;88.38;1.83;91.1;1.05
24;49.4;1.827;57.92;1.31
22;-20.11;1.833;47.16;3.0
24;80.41;1.833;94.1;1.76
21;257.88;1.829;257.88;1.03
23;-112.12;1.835;282.35;3.0
21;44.44;1.833;74.86;1.35
21;-155.45;1.838;119.5;3.0
21;43.79;1.837;59.47;1.62
24;95.8;1.837;134.28;1.88
21;105.88;1.833;105.88;1.0
25;134.66;1.83;139.6;1.25
20;-3.94;1.832;98.04;2.12
22;-56.64;1.837;42.61;3.0
21;-58.88;1.842;118.19;3.0
22;26.15;1.839;43.54;1.23
22;38.42;1.836;38.42;1.04
21;-20.48;1.841;43.26;3.0
23;-50.01;1.846;78.0;3.0
21;7.61;1.851;57.02;3.0
22;384.13;1.848;389.69;1.08
23;74.26;1.846;328.8;1.41
23;48.84;1.843;92.47;1.11
21;-176.92;1.848;253.27;3.0
24;-14.04;1.848;993.47;1.78
24;25.39;1.845;84.71;1.33
22;205.56;1.841;206.24;1.04
19;13.82;1.839;319.3;1.22
22;183.31;1.839;225.63;1.83
23;138.94;1.835;143.91;1.02
23;-115.25;1.84;135.06;3.0
23;55.16;1.837;55.16;1.07
25;-82.05;1.842;99.3;3.0
24;-64.79;1.847;72.9;3.0
21;112.41;1.846;153.88;1.56
22;-153.25;1.85;141.12;3.0
24;189.52;1.847;189.52;1.0
23;86.75;1.844;93.5;1.09
24;44.16;1.842;60.0;1.44
21;-57.53;1.847;71.61;3.0
20;-284.34;1.851;223.38;3.0
21;-196.51;1.852;586.49;2.07
24;106.29;1.851;112.58;1.35
21;-249.2;1.855;251.02;3.0
25;156.53;1.852;156.53;1.0
22;17.02;1.85;55.16;1.49
23;86.08;1.847;169.93;1.13
23;46.85;1.847;67.45;1.66
24;-281.84;1.851;198.94;3.0
21;377.23;1.852;725.02;2.07
22;-48.18;1.857;37.25;3.0
23;291.38;1.855;295.78;1.43
23;-16.24;1.855;84.16;1.76
25;482.56;1.852;482.56;1.0
22;374.22;1.849;409.07;1.31
21;-14.85;1.851;65.49;2.33
25;-153.36;1.856;114.82;3.0
26;67.43;1.852;67.43;1.01
24;53.82;1.849;78.76;1.11
23;74.06;1.847;86.46;1.07
25;-67.32;1.851;82.99;3.0
20;-3.97;1.855;25.36;3.0
21;210.85;1.853;223.21;1.17
26;-173.3;1.857;363.66;3.0
21;-160.26;1.861;120.48;3.0
25;219.98;1.858;219.98;1.0
22;-82.59;1.862;71.14;3.0
22;95.62;1.86;162.49;1.19
26;52.57;1.858;169.47;1.29
22;52.49;1.857;101.88;1.46
21;36.87;1.857;180.54;1.88
22;247.35;1.854;247.35;1.0
23;70.7;1.851;89.0;1.05
21;36.5;1.848;36.5;1.03
21;122.45;1.847;135.33;1.54
24;60.96;1.845;67.88;1.46
22;-62.72;1.849;55.69;3.0
23;314.38;1.846;314.38;1.0
23;110.52;1.844;196.67;1.15
22;91.49;1.846;146.09;2.58
21;160.64;1.843;160.64;1.0
21;-49.08;1.848;75.47;3.0
22;220.36;1.845;221.25;1.04
23;193.38;1.843;210.62;1.32
24;289.48;1.84;296.39;1.25
24;-26.23;1.844;144.77;3.0
24;150.73;1.842;152.25;1.03
27;190.18;1.84;199.69;1.43
23;33.62;1.838;58.16;1.37
25;83.28;1.836;116.14;1.24
19;121.57;1.839;166.27;2.65
22;-83.33;1.843;159.41;3.0
23;-97.64;1.847;64.76;3.0
21;106.34;1.844;111.88;1.11
23;276.47;1.842;276.47;1.07
22;43.22;1.846;317.37;3.0
22;465.22;1.843;467.17;1.03
25;-7.24;1.847;61.88;3.0
25;770.1;1.848;822.0;2.28
25;829.49;1.845;829.49;1.0
25;202.97;1.846;244.61;1.87
23;39.39;1.843;70.51;1.18
24;-136.33;1.847;167.57;3.0
25;242.73;1.845;244.46;1.09
25;43.23;1.843;108.29;1.18
25;142.86;1.841;432.97;1.35
22;-33.82;1.845;116.49;3.0
25;97.62;1.843;107.66;1.15
24;548.73;1.84;548.73;1.02
21;-71.17;1.842;193.13;2.65
25;200.22;1.84;203.94;1.09
24;104.02;1.837;104.02;1.01
21;41.89;1.837;85.81;1.59
24;153.93;1.84;571.22;2.94
21;-51.58;1.844;95.86;3.0
23;-8.05;1.846;111.73;2.56
22;124.67;1.843;124.67;1.0
22;53.09;1.842;101.95;1.56
25;176.82;1.84;178.08;1.05
26;187.91;1.838;191.92;1.08
22;216.74;1.835;216.74;1.0
24;43.22;1.837;125.07;2.39
23;66.25;1.841;600.18;3.0
22;58.72;1.838;58.72;1.05
23;327.62;1.84;459.0;2.37
25;-85.12;1.844;56.0;3.0
25;-43.65;1.847;126.38;3.0
21;19.71;1.848;62.06;2.32
25;469.95;1.847;477.05;1.46
24;88.31;1.845;95.65;1.04
23;80.06;1.842;80.06;1.03
24;52.19;1.84;58.85;1.07
24;95.23;1.842;122.1;2.41
22;-79.11;1.845;97.56;3.0
22;138.69;1.843;139.62;1.09
21;-53.64;1.846;53.26;3.0
21;37.29;1.845;61.69;1.36
22;35.83;1.844;56.26;1.32
18;-30.96;1.847;59.96;3.0
24;75.86;1.845;82.31;1.22
22;412.07;1.843;414.09;1.05
21;3.16;1.842;38.96;1.67
23;-68.06;1.846;46.95;3.0
21;67.58;1.844;71.16;1.13
21;4.87;1.844;56.28;2.04
23;69.06;1.842;69.06;1.01
25;-159.48;1.845;100.99;3.0
22;-45.05;1.848;68.73;3.0
24;-163.49;1.852;271.18;3.0
26;193.99;1.849;193.99;1.0
24;92.14;1.847;92.98;1.02
24;133.06;1.844;133.06;1.0
22;-159.15;1.848;203.1;3.0
22;45.73;1.846;149.1;1.23
23;-61.87;1.846;405.3;2.1
25;-32.06;1.85;141.19;3.0
23;-382.27;1.853;564.75;3.0
23;-20.25;1.855;48.2;2.68
22;150.89;1.853;150.89;1.0
25;-10.98;1.856;95.12;3.0
24;79.17;1.854;93.42;1.09
24;48.56;1.852;48.56;1.0
24;144.57;1.849;145.31;1.03
24;-153.95;1.852;238.77;3.0
21;53.59;1.852;77.13;1.65
22;54.03;1.85;57.49;1.08
21;75.07;1.848;81.94;1.28
22;380.89;1.851;442.48;3.0
21;-739.44;1.854;478.8;3.0
22;-82.15;1.858;218.08;3.0
24;304.22;1.858;340.95;2.14
19;-96.98;1.861;95.66;3.0
24;63.72;1.86;77.34;1.34
24;319.44;1.857;319.44;1.0
21;47.66;1.855;48.64;1.05
23;49.77;1.854;101.36;1.24
23;7.22;1.856;111.6;2.83
26;43.13;1.854;43.13;1.02
26;63.0;1.852;129.61;1.13
26;-58.02;1.855;101.82;3.0
24;125.26;1.853;125.26;1.02
23;50.81;1.851;55.71;1.03
21;-99.89;1.854;66.76;3.0
22;46.5;1.852;57.76;1.32
22;6.85;1.854;48.26;2.59
22;222.0;1.854;266.62;1.74
24;72.02;1.852;83.96;1.19
23;337.58;1.851;349.92;1.4
23;40.32;1.849;66.65;1.27
25;101.0;1.849;227.57;1.78
21;96.27;1.847;97.81;1.03
21;218.45;1.85;438.91;2.95
21;-804.65;1.853;678.15;3.0
25;749.48;1.851;754.79;1.23
22;15.11;1.854;105.96;2.8
25;68.34;1.852;72.25;1.18
21;64.64;1.85;64.64;1.03
25;-387.29;1.853;473.21;3.0
21;151.35;1.851;167.07;1.3
23;168.55;1.851;194.6;1.75
21;-8.95;1.854;47.85;3.0
21;58.88;1.852;83.32;1.22
24;-263.77;1.855;355.72;3.0
25;4.66;1.855;282.49;1.89
25;-20.41;1.858;69.93;3.0
22;355.19;1.856;355.19;1.0
24;153.35;1.854;153.96;1.03
25;-26.26;1.857;55.98;3.0
23;221.76;1.855;234.24;1.18
22;177.68;1.854;191.89;1.47
24;-214.67;1.857;140.86;3.0
19;225.03;1.855;225.03;1.01
21;10.33;1.853;376.26;1.24
25;423.57;1.853;454.1;1.67
26;259.82;1.853;287.54;1.71
24;197.43;1.851;202.11;1.04
22;-11.46;1.85;112.4;1.68
22;47.5;1.849;47.5;1.05
24;179.64;1.847;210.12;1.22
22;-57.03;1.85;74.75;3.0
21;48.63;1.848;55.94;1.27
22;146.48;1.848;179.02;1.74
21;94.7;1.846;94.7;1.0
25;-37.43;1.849;94.37;3.0
22;-67.53;1.852;162.19;3.0
24;121.74;1.85;136.03;1.2
25;59.37;1.849;93.33;1.42
22;27.48;1.849;56.01;1.99
23;9.69;1.851;71.4;2.37
23;45.68;1.849;45.68;1.0
23;-115.28;1.851;147.5;3.0
24;331.12;1.851;399.92;1.74
25;83.43;1.849;83.43;1.0
21;59.71;1.847;59.71;1.03
24;32.09;1.846;37.24;1.44
22;101.51;1.845;102.58;1.17
22;87.49;1.843;87.49;1.0
25;9.19;1.842;75.68;1.64
25;-88.3;1.845;295.79;3.0
24;-210.84;1.847;440.18;3.0
23;78.37;1.846;79.62;1.08
23;-249.14;1.848;110.87;3.0
21;-75.0;1.851;160.03;3.0
21;171.73;1.849;173.9;1.05
22;-23.11;1.851;105.11;2.59
22;-6.4;1.852;97.34;2.53
21;-361.38;1.855;275.78;3.0
22;-26.62;1.855;86.36;1.91
25;77.87;1.853;107.14;1.17
24;-40.82;1.856;81.98;3.0
22;211.87;1.854;211.87;1.05
19;76.18;1.852;76.18;1.01
23;277.22;1.851;277.22;1.0
21;-32.29;1.853;81.73;3.0
24;245.49;1.851;245.49;1.0
26;18.65;1.852;78.77;2.18
22;442.77;1.851;452.13;1.44
24;-85.94;1.853;51.21;3.0
24;-173.17;1.856;125.5;3.0
22;93.6;1.856;119.65;1.97
21;61.54;1.854;61.54;1.04
24;42.52;1.854;170.34;1.59
22;371.12;1.852;371.12;1.0
26;41.65;1.852;101.19;1.65
23;109.03;1.85;109.99;1.02
24;7.72;1.852;96.23;2.97
25;72.97;1.85;72.97;1.02
25;163.01;1.849;163.01;1.03
23;-44.77;1.851;114.17;3.0
24;-886.06;1.853;464.54;3.0
24;48.65;1.852;82.88;1.24
25;13.08;1.851;142.15;1.65
24;194.28;1.85;194.28;1.01
24;154.53;1.848;224.74;1.18
22;-58.44;1.851;57.27;3.0
21;82.06;1.85;86.6;1.26
23;137.58;1.848;157.1;1.14
22;-392.9;1.85;359.69;3.0
22;53.63;1.849;58.01;1.07
25;36.22;1.849;395.67;1.92
23;163.67;1.847;163.67;1.04
23;70.89;1.846;88.49;1.46
22;-403.51;1.849;61.96;3.0
23;58.09;1.849;115.6;2.07
22;369.05;1.849;609.56;1.83
20;131.38;1.849;308.71;1.51
23;244.74;1.847;257.51;1.19
25;149.29;1.847;175.3;1.74
21;-229.34;1.849;140.82;3.0
21;69.34;1.848;69.34;1.0
23;-137.59;1.85;150.58;3.0
24;1.72;1.85;50.69;2.05
24;-72.79;1.853;98.26;3.0
24;-191.29;1.853;246.57;2.11
24;87.9;1.851;87.9;1.0
22;44.55;1.85;197.18;1.1
24;-193.3;1.852;186.26;3.0
23;48.26;1.852;346.14;1.76
23;-96.97;1.854;72.54;3.0
20;34.45;1.853;58.2;1.13
23;208.97;1.851;208.97;1.0
25;-368.92;1.853;321.98;3.0
21;-156.29;1.856;128.89;3.0
23;232.82;1.854;232.82;1.0
22;50.28;1.855;87.1;2.25
23;-15.28;1.856;61.2;2.62
21;-12.04;1.858;88.28;3.0
24;66.5;1.857;66.5;1.01
21;82.81;1.855;87.84;1.04
24;46.21;1.854;56.83;1.1
21;-92.54;1.856;99.81;3.0
24;116.89;1.854;267.68;1.1
24;-58.92;1.856;496.42;2.62
23;286.12;1.854;287.0;1.03
19;-542.16;1.856;90.05;3.0
23;122.41;1.855;124.53;1.11
22;45.83;1.853;45.83;1.05
24;76.13;1.852;82.25;1.28
26;439.44;1.851;460.81;1.13
22;-130.63;1.853;89.38;3.0
24;-56.44;1.855;226.99;3.0
23;-100.31;1.857;170.92;3.0
20;148.67;1.856;148.67;1.04
23;254.75;1.854;254.75;1.04
22;91.87;1.853;91.87;1.08
25;14.36;1.852;144.73;1.52
22;87.39;1.851;87.39;1.24
21;31.96;1.851;43.44;1.94
25;18.91;1.852;120.4;2.39
24;9.64;1.852;129.93;1.9
22;65.48;1.852;144.04;1.85
24;-53.01;1.854;99.69;3.0
22;50.73;1.853;50.73;1.0
22;-1046.43;1.855;277.41;3.0
22;110.19;1.855;179.65;1.74
21;-55.81;1.857;48.11;3.0
22;-65.59;1.859;95.56;3.0
25;84.9;1.859;119.85;1.78
21;170.89;1.857;174.67;1.07
20;-45.92;1.859;67.58;3.0
23;-15.82;1.862;52.0;3.0
24;152.13;1.86;153.0;1.02
24;166.69;1.859;183.73;1.21
22;72.41;1.857;72.41;1.05
22;11.39;1.857;189.42;1.64
23;148.41;1.855;148.41;1.0
24;172.17;1.856;225.8;2.55
23;221.24;1.855;227.6;1.06
22;-37.85;1.857;78.7;3.0
22;210.88;1.856;219.57;1.36
24;204.28;1.855;225.39;1.06
22;-33.82;1.857;157.41;3.0
22;-100.66;1.859;119.85;3.0
23;119.28;1.858;138.6;1.39
22;-64.07;1.859;159.14;2.08
24;19.6;1.861;147.58;3.0
24;393.73;1.859;395.48;1.05
25;17.23;1.859;83.61;1.68
25;94.48;1.858;94.48;1.03
23;-9.79;1.86;51.1;3.0
21;-52.77;1.862;166.94;3.0
23;112.74;1.861;138.91;1.67
22;-58.46;1.863;79.17;3.0
20;-105.39;1.865;223.62;2.78
22;-79.53;1.867;70.0;3.0
24;-121.78;1.869;157.15;3.0
