amount_of_players;round_result;MO;bank;real_x
25;-13.74;2.092;106.9;3.0
21;-76.71;2.116;64.61;3.0
23;-152.29;2.138;90.32;3.0
25;-90.81;2.16;118.71;3.0
22;-85.76;2.18;75.08;3.0
23;-95.49;2.2;86.37;1.0
21;64.3;2.172;64.3;2.1
25;31.59;2.17;107.2;1.73
24;33.73;2.16;48.85;1.0
23;91.87;2.135;91.87;1.0
24;53.13;2.111;53.13;3.0
24;-60.22;2.129;487.44;3.0
22;-125.86;2.147;223.08;1.59
19;-18.4;2.136;132.9;1.09
20;66.76;2.116;66.76;3.0
25;-63.61;2.133;85.61;1.15
24;46.51;2.113;48.93;1.26
27;51.75;2.098;281.15;3.0
25;-210.73;2.115;459.6;1.06
21;46.95;2.096;46.95;1.01
24;98.72;2.077;99.64;2.73
22;172.19;2.088;232.39;2.63
27;-29.43;2.097;160.07;1.03
23;366.43;2.078;366.43;3.0
25;-177.44;2.093;135.43;3.0
22;-58.92;2.108;75.95;1.26
22;49.17;2.095;60.17;1.02
22;243.15;2.078;243.15;3.0
25;-330.62;2.092;224.62;1.4
23;165.07;2.082;180.17;1.42
24;23.9;2.072;74.58;3.0
25;-44.91;2.085;120.85;1.0
22;88.11;2.07;88.11;3.0
27;-3.31;2.083;91.67;3.0
24;-316.96;2.096;396.17;2.58
21;-247.23;2.103;235.56;2.2
24;60.58;2.104;370.75;1.23
25;443.57;2.092;445.26;3.0
25;-157.72;2.104;155.98;3.0
22;-544.95;2.116;486.78;2.98
21;0.73;2.127;207.26;1.04
22;223.79;2.113;223.79;1.06
26;156.46;2.1;156.46;1.0
24;81.25;2.086;81.25;1.44
25;190.76;2.078;197.65;1.9
23;7.28;2.076;79.79;1.04
24;258.38;2.063;258.38;1.23
23;95.04;2.052;101.04;1.03
25;88.43;2.04;88.43;1.1
24;110.6;2.029;121.49;3.0
26;-69.99;2.04;179.6;1.42
24;148.92;2.033;165.38;1.11
23;283.8;2.022;439.57;3.0
23;-412.57;2.033;220.16;1.75
21;2.77;2.031;195.29;1.19
26;169.79;2.022;228.41;1.03
23;75.06;2.011;76.78;1.43
26;33.46;2.004;43.57;1.03
23;264.69;1.994;266.04;1.17
23;64.76;1.985;89.47;3.0
25;-17.27;1.996;73.02;3.0
25;-230.53;2.006;94.98;1.02
24;90.81;1.996;90.81;3.0
25;-254.98;2.006;287.45;1.91
